GAS
N2	99999
SO2	503
NO	500

FLOW
1	True	2000	0	0	0.00	0.00	
2	True	1500	0	500	0.00	125.00	
3	True	1000	0	1000	0.00	250.00	
4	True	500	0	1500	0.00	375.00	
5	True	0	0	2000	0.00	500.00	
6	True	1500	500	0	125.75	0.00	
7	True	1000	500	500	125.75	125.00	
8	True	0	500	1500	125.75	375.00	
9	True	1000	1000	0	251.50	0.00	
10	True	0	1000	1000	251.50	250.00	
11	True	500	1500	0	377.25	0.00	
12	True	0	1500	500	377.25	125.00	
13	True	0	2000	0	503.00	0.00	

SPEC
1	2	3	4	5	6	7	8	9	10	11	12	13	
188.87	188.53	191.34	186.47	185.87	172.67	172.11	165.22	153.47	149.73	138.94	133.17	122.61	
211.91	212.21	206.94	206.48	208.33	188.23	182.59	184.48	164.22	161.53	155.93	149.42	133.21	
228.15	223.01	226.11	223.41	225.93	204.52	205.22	197.16	176.16	176.7	154.78	155.3	135.28	
256.99	249.82	248.15	247.94	245.86	224.25	219.44	210.16	193.14	190.28	171.36	173.96	151.15	
292.75	290.74	284.65	286.59	284.46	253.15	252.1	246.7	223.69	211.91	196.81	194.75	172.49	
348.37	335.08	323.54	314.68	309.26	302.77	295.32	278.97	262.45	243.74	232.24	219.21	200.9	
445.77	397.65	372.87	345.52	330.65	382.09	344.92	298.7	326.78	269.44	275.35	253.49	237.81	
582.8	484.79	427.47	385.36	348.45	491.92	407.96	323.55	413.83	302.32	347.52	297.02	288.28	
689.55	562.9901	492.62	436.57	398.35	576.02	470.51	367.35	476.25	340.89	400.97	334.5099	333.28	
730.72	616.11	540.98	490.08	444.71	611.87	515.68	410.4	512.8201	374.86	427.17	369.05	363.39	
778.03	689.16	632.68	586.11	548.4901	656.78	576.85	490.47	552.17	444.68	461.72	410.68	384.92	
898.43	814.61	763.72	736.7899	702.96	744.76	681.19	610.8099	616.5	530.52	516.8	474.17	430.52	
1001.33	933.9299	891.66	859.35	835.0101	823.66	769.2	706.52	680.43	603.1899	561.48	527.24	461.38	
1173.93	1105.68	1072.71	1043.27	1016.55	960.61	910.6899	851.7599	785.71	719.4901	654.0599	612.05	538.41	
1473.24	1413.44	1388.02	1362.79	1338.26	1218.02	1168.95	1118.61	1002.5	938.7401	834.16	802.4	688.72	
1753.12	1706.91	1682.04	1661.37	1633.06	1449.6	1410.13	1361.67	1195.88	1137.97	984.45	962.36	820.57	
1811.02	1765.4	1743	1717.13	1683.85	1491.98	1451.97	1394.19	1220.66	1161.24	1000.67	971.65	823.53	
1732.73	1671.19	1628.41	1588.52	1552.5	1406.76	1363.47	1292.97	1144.26	1067.04	932.36	897.67	761.69	
1710.46	1588.63	1512.9	1447.47	1386.91	1382.28	1286.05	1164.32	1116.85	983.67	908.4	846.4401	736.5199	
1773.86	1581.49	1449.98	1355.68	1281.6	1445.4	1286.24	1101.68	1170.35	955.25	955.66	849.82	778.39	
1908.57	1665.47	1504.94	1390.78	1295.38	1551.78	1348.08	1126.18	1256.71	990.77	1027.18	895.8301	834.34	
2096.08	1858.81	1699.66	1582.85	1487.41	1683.49	1491.47	1264.04	1352.67	1082.39	1090.47	961.23	875.9401	
2261.9	2070.76	1939.8	1839.33	1759.84	1787.92	1631.35	1436.46	1417.88	1198.31	1126.48	1019.8	895.97	
2375.18	2217.4	2106.69	2029.94	1961.23	1862.72	1729.85	1573.42	1463.47	1281.68	1150.83	1065.88	913.97	
2468.91	2337.36	2241.24	2177.44	2117.22	1950.47	1843.27	1703.98	1541.85	1384.06	1224.06	1146.5	972.41	
2653.53	2536.99	2460.32	2402.06	2351.95	2108.35	2011.49	1899.51	1679.47	1541.42	1343.26	1274.5	1073.79	
2991.62	2899.83	2844.63	2806.03	2767.36	2366.07	2292.36	2201.91	1869.71	1763.67	1492.44	1440.83	1193.31	
3285.43	3223.95	3182.49	3159.06	3127.44	2539.9	2485.15	2421.07	1971.11	1891.19	1542.73	1502.07	1209.27	
3359.93	3318.5	3293.97	3281.93	3262.38	2568.62	2535.21	2488.42	1966.23	1915.91	1515.82	1493.83	1175.65	
3391.06	3373.43	3352.65	3350.67	3336.74	2624.53	2600.95	2576.88	2032.87	1995.95	1585.68	1568.52	1241.82	
3495.36	3477.13	3472.93	3466.72	3457.86	2734.45	2725.82	2705.04	2147.02	2124.9	1699.21	1687.02	1346.95	
3588.41	3572.74	3564.18	3564.37	3545.02	2805.97	2789.24	2771.11	2194.81	2171.73	1730.34	1721.35	1376.19	
3581.08	3564.91	3542.26	3543.4	3525.48	2747.91	2728.63	2704.46	2109.89	2086.4	1645.47	1631.04	1283.57	
3484.22	3464.11	3436.07	3427.3	3403.55	2629.87	2612.48	2573.28	1991.44	1958.04	1520.8	1508.65	1175.24	
3418.87	3380.95	3334.7	3305.51	3269.23	2596.87	2557.85	2497.2	1974.07	1918.91	1518.39	1491.88	1176.35	
3433.63	3357.77	3287.96	3233.21	3163.09	2667.43	2600.65	2490.75	2075.31	1969.67	1624.42	1580.25	1278.14	
3478.75	3383	3297.13	3219.42	3141.04	2737.89	2658.21	2514.72	2159.87	2030.6	1717.82	1660.5	1369.97	
3483.85	3387.22	3299.97	3233.93	3158.47	2677.04	2599.31	2471.67	2078.87	1953.28	1618.43	1576.81	1288.28	
3474.38	3401.7	3334.59	3286.03	3211.38	2575.26	2516.94	2411.83	1921.89	1834.1	1464.64	1423.84	1125.85	
3513.89	3460.54	3404.08	3371.05	3314.92	2622.35	2572.02	2490.91	1958.05	1892.2	1496.28	1462.57	1146.45	
3584.85	3541.24	3491.68	3471.99	3429.68	2753.7	2706.96	2644.28	2116.81	2056.08	1645.7	1612.34	1287.92	
3655.87	3617.68	3581.53	3562.93	3527.13	2852.39	2818.21	2765.22	2235.55	2181.17	1769.75	1743.65	1408.35	
3738.79	3709.88	3680.38	3666.33	3638.48	2867.07	2839.08	2796.95	2224.49	2178.19	1735.65	1715.22	1368.1	
3907.41	3889.14	3872.83	3865.45	3844.09	2878.72	2857.59	2832.32	2136.92	2108.52	1612.31	1602.4	1228.43	
4095.02	4077.31	4067.62	4067.17	4047.59	2987	2969.03	2945.03	2191.03	2163.56	1638.04	1614.93	1220.22	
4200.18	4190.86	4189.61	4184.48	4164.82	3150.96	3132.18	3110.19	2368.45	2337.68	1805.75	1785.59	1383	
4333.84	4315.08	4312.81	4301.61	4286.64	3351.02	3335.54	3308.65	2608.81	2579.86	2051.59	2032.23	1611.04	
4381.48	4358.71	4358.62	4356.46	4338.13	3423.22	3402.97	3376.09	2683.74	2655	2121.21	2104.01	1698.17	
4261.33	4244.18	4240.46	4238.41	4226.49	3211.3	3194.72	3175.28	2446.03	2419.34	1896.04	1880.29	1477.09	
4103.1	4088.04	4087.74	4089.38	4069.04	3006.07	2988.44	2967.44	2226.09	2199.57	1678.55	1667.34	1282.21	
3957.08	3945.89	3943.74	3947.26	3931.76	2943.23	2926.15	2910.39	2200.05	2172.56	1677.16	1662.8	1282.78	
3849.68	3839.22	3832.49	3839.37	3824.52	2945.15	2931.35	2915.41	2270.24	2244.18	1772.66	1753.59	1387.88	
3753.22	3742.38	3739.45	3747.44	3734.73	2928.65	2918.78	2908.02	2312.24	2297.8	1845.96	1832.13	1483.35	
3682.79	3674.9	3673.75	3687.53	3670.95	2816.75	2808.8	2791.06	2180.69	2166.6	1726.54	1713.95	1376.77	
3641.05	3647.45	3644.31	3641.88	3631.94	2678.33	2672.83	2660.48	1993.93	1980.81	1522.56	1507.02	1175.79	
3645.22	3637.18	3641.46	3648.95	3636.14	2683.32	2677.81	2660.57	1993.53	1972.91	1504.68	1495.8	1149.87	
3694.53	3693.1	3693.09	3701.7	3688.88	2796.93	2785.27	2776.57	2126.92	2116.11	1644.72	1638.45	1285.44	
3816.5	3814.27	3808.61	3821.25	3810.65	2978.22	2968.18	2960.02	2339.21	2325.68	1862.59	1852.36	1491.56	
3992.3	3988	3998.56	3996.82	3994.84	3122.01	3114.41	3103.03	2453.23	2444.28	1960.36	1949.48	1573.23	
4194.84	4186.87	4182.46	4189.38	4181.3	3149.42	3138.56	3125.12	2389.04	2377.24	1852.36	1838.98	1446.12	
4383.81	4375.56	4369.65	4378.32	4363.55	3207.84	3195.01	3177.88	2374.3	2350.66	1788.9	1778.53	1365.21	
4601.88	4590.9	4593.07	4594.52	4577.74	3431.65	3417.74	3404.42	2576.74	2558.8	1968.29	1948.85	1509.66	
4899.3	4897.87	4887.78	4897.21	4879.01	3788.77	3776.11	3752.75	2940.31	2913.23	2313.21	2294.08	1820.08	
5202.21	5192.68	5190.75	5196.41	5181.89	4144.47	4129.31	4113.11	3323.1	3296.64	2693.7	2682.94	2202.5	
5414.72	5399.63	5400.33	5395.92	5381.759	4236.03	4220.68	4189.55	3355.72	3333.57	2720.86	2704.85	2223.61	
5668.14	5644.11	5635.03	5628.57	5607.97	4235	4214.24	4173.3	3216.76	3179.89	2509.98	2489.02	1981.61	
6012.7	5963.521	5922.63	5897.831	5848.43	4481.47	4431.65	4347.4	3369.87	3295.16	2590.18	2554.55	2017.97	
6262	6123.83	6006.14	5913.87	5811.82	4817.12	4693.91	4497.11	3730.9	3543.46	2934.93	2845.63	2323.81	
6455.96	6186.771	5968.83	5797.76	5619.34	5124.29	4892	4537.29	4097.64	3736.63	3317.08	3158.52	2705.7	
6679.591	6345.32	6063.58	5854.54	5633.23	5351.07	5059.89	4617.07	4318.55	3875.57	3532.57	3328.05	2906.5	
7009.97	6685.78	6407.521	6180.82	5956.33	5436.52	5164.36	4736.14	4260.81	3848.49	3398.98	3218.21	2737.67	
7438.26	7148.409	6920.05	6722.36	6526.63	5567.101	5337.54	4966.93	4216.75	3861.52	3250.79	3094.36	2532.04	
7761.7	7545.86	7370.03	7229.549	7072.479	5872.28	5686.23	5403.58	4474.4	4194.97	3462.75	3335.06	2698.11	
7944.17	7779.801	7633.24	7524.16	7396.53	6209.93	6063.44	5832.47	4874.58	4648.06	3873.36	3766.14	3088.61	
8194.33	8063.359	7954.86	7867.37	7776.28	6616.81	6496.99	6308.83	5359.57	5183.61	4396.91	4313.021	3626.29	
8642.94	8549.591	8468.591	8418.25	8341.631	7056.96	6967.771	6838.491	5819.62	5677.97	4853.93	4792.23	4079.9	
9131.67	9062.859	9018.689	8995.729	8942.27	7180.94	7120.55	7020.79	5738.169	5637.58	4680.49	4628.29	3857.92	
9388.169	9346.25	9320.78	9314.08	9276.24	7132.01	7091.47	7028.36	5501.85	5440.31	4338.72	4302.83	3462.76	
9485.661	9458.99	9448.93	9463.111	9439.819	7344.35	7316.14	7270.7	5739.09	5689.97	4560.38	4535.52	3650.66	
9526.98	9513.721	9506.21	9528.62	9506.31	7637	7610.78	7586	6159.91	6117.41	5040.88	5018.22	4143.19	
9546.64	9536.561	9539.25	9559.729	9540.141	7906.509	7886.17	7864.26	6591.31	6561.16	5568.74	5550.08	4727.52	
9593.931	9592.529	9599.311	9618.18	9598.109	7981.681	7968.72	7947.729	6705.33	6663.7	5703.82	5692.229	4889.04	
9631.97	9624.521	9635.12	9652.55	9638.889	7754.04	7733.141	7708.46	6313.48	6280.96	5235.33	5219.12	4382.16	
9626.83	9611.52	9628.78	9646.12	9631.139	7568.92	7547.43	7520.86	5993.23	5966.46	4837.38	4819.12	3933.46	
9746.811	9740.81	9756.79	9767.58	9758.14	7780.649	7761.949	7736.081	6237.98	6202.38	5063.63	5041.27	4130.6	
10091.22	10075.14	10099.56	10111.46	10099.12	8308.881	8293.841	8266.381	6857.949	6821.359	5720.69	5694.81	4772.89	
10600.6	10586.34	10613.88	10622.78	10618.76	9023.859	9008.189	8988.86	7705.03	7669.8	6637.27	6606.81	5710.03	
10882.16	10868.16	10897.86	10916.46	10905.22	9380.87	9365.369	9338.409	8105.87	8078.94	7066.15	7054.979	6168.29	
10705.78	10691.34	10722.44	10738.5	10734.2	8969.37	8954.76	8932.12	7557.641	7531.009	6458.54	6438.24	5531.64	
10368.48	10353.22	10379.62	10399.26	10387.9	8431.83	8416.78	8384.34	6891.9	6858.18	5715.51	5683.89	4750.79	
10098.06	10084.7	10111.98	10125.3	10110.64	8257.92	8246.42	8218.439	6776.74	6741.57	5616.81	5598.83	4673.7	
9888.061	9876.49	9899.32	9912.15	9896.14	8289.861	8276.54	8249.029	6957.78	6928.159	5891.5	5867.521	4994.521	
9761.649	9750.93	9771.03	9785.53	9774.26	8431.249	8423.049	8400.15	7292.7	7267.791	6366.22	6341.729	5559.84	
9783.62	9772.27	9790.061	9803.221	9787.99	8571.521	8564.069	8542.07	7540.95	7518.82	6698.63	6683.13	5949.89	
9859.3	9842.98	9866.631	9881.87	9871.631	8427.75	8413.869	8391.14	7245.27	7218.3	6315.38	6290.831	5516.01	
9832.54	9817.91	9837.49	9854.439	9841.11	8189.95	8184.05	8157.4	6856.81	6829.11	5808.33	5794.13	4935.56	
9674.29	9661.939	9681.05	9700.659	9689.4	8144.62	8132.75	8107.729	6863.009	6830.3	5831.54	5803.161	4954.62	
9436.95	9418.99	9439.58	9454.739	9445.87	8083.541	8066.4	8041.949	6916.59	6881.8	5962.47	5942	5130.63	
9199.58	9183	9201.909	9216.35	9199.07	8043.44	8032.66	8014.15	7038.58	7004.67	6192.17	6171.85	5440.46	
8960.17	8947.28	8961.271	8969.55	8960.24	7955.87	7948.06	7921.53	7065.42	7035.021	6317.431	6295.49	5631.85	
8756.9	8743.38	8746.32	8753.56	8734.05	7685.75	7669.459	7637.68	6752.37	6716.831	5971.35	5949.59	5280.33	
8683.479	8650.669	8648.32	8642.56	8614.05	7486.86	7463.891	7407.109	6461.04	6400.459	5604.12	5570.34	4856.28	
8671.27	8603.9	8575	8537.619	8484.94	7497.94	7440.53	7333.97	6473.73	6366.41	5609.069	5562.8	4855.63	
8620.359	8464.791	8360.27	8259.899	8139.841	7540.07	7403.68	7164.38	6567.66	6339.479	5750.811	5639.44	5014.16	
8478.029	8136.47	7882.89	7652.431	7423.34	7541.12	7232.271	6731.06	6675.31	6150.58	5942	5680.37	5252.081	
8176.47	7671.88	7297.51	6962.3	6662.63	7414.59	6945.431	6233.56	6697.98	5899.93	6067.839	5668.3	5483.89	
7815.36	7294.64	6901.891	6559.959	6258.86	7051.86	6577.78	5861.3	6370.351	5570.149	5772.87	5363.2	5211.56	
7465.681	7027.999	6687.61	6391.3	6116.88	6636.25	6237.11	5623.95	5883.63	5228.27	5247.05	4919.86	4660.61	
7272.23	6938.45	6680.959	6458.83	6244.64	6439.02	6144.89	5673.31	5697.26	5201.22	5054.07	4815.399	4475.44	
7162.49	6947.03	6787.241	6656.699	6513.49	6423.89	6234.15	5927.43	5747.53	5428.141	5171	5001.97	4625.05	
7180.259	7029.19	6943.37	6861.84	6775.06	6547.08	6422.58	6221.18	5950.81	5738.37	5426.06	5321.56	4923.521	
7204.43	7101.93	7066.69	7016.36	6953.49	6657.71	6576.991	6447.96	6130.55	5991.86	5662.96	5597.58	5209.37	
7091.681	7031.98	7013.69	6992.81	6957.13	6555.931	6512	6426.25	6047.359	5961.521	5595.94	5555.229	5150.01	
7010.07	6974.36	6969.521	6963.26	6944.08	6387.55	6363.771	6307.94	5815.53	5761.319	5306.94	5277.51	4828.4	
7054.319	7030.53	7039.891	7040.96	7024.75	6392.22	6374.36	6337.53	5773.63	5737.08	5230.43	5215.4	4723.521	
7130.32	7113.56	7126.94	7133.4	7124.359	6526.88	6508.35	6490.01	5953.21	5925.08	5450.58	5438.85	4962.76	
7126.26	7115.2	7127.86	7136.18	7133.24	6606.45	6601.03	6576.13	6094.01	6071.07	5643.541	5633.47	5200.96	
7057.479	7046.22	7071.21	7081.84	7072.84	6605.74	6601.311	6588.51	6154.56	6136.669	5753.05	5737.069	5348.54	
7113.959	7101.06	7126.84	7134.19	7122.71	6713.521	6708.18	6686.28	6307.43	6290.74	5940.579	5932.47	5568.59	
