GAS
N2	9999
SO2	100
NO	100

FLOW
1	True	100	100	100	57	48			
2	True	110	100	100	7	14			
3	True	110	120	100	8	38			

SPEC
1	2	3	
29977.6	29984	30012.8	
41120	41148.8	41164.8	
52688	52668.8	52675.2	
58812.8	58812.8	58851.2	
63129.6	63091.2	63107.2	
68329.6	68310.4	68339.2	
77670.4	77635.2	77673.6	
84140.8	84115.2	84147.2	
96176	96163.2	96281.6	
119644.8	119628.8	119792	
136601.6	136582.4	136656	
140617.6	140624	140755.2	
138268.8	138252.8	138368	
146940.8	146940.8	147065.6	
149952	149958.4	150105.6	
150230.4	150208	150352	
167459.2	167452.8	167593.6	
192604.8	192601.6	192777.6	
197664	197628.8	197804.8	
183040	182985.6	183187.2	
167286.4	167251.2	167379.2	
156758.4	156707.2	156851.2	
149244.8	149241.6	149411.2	
146851.2	146844.8	146992	
149628.8	149606.4	149744	
150035.2	150003.2	150227.2	
150144	150112	150211.2	
150924.8	150905.6	151033.6	
158195.2	158220.8	158371.2	
172627.2	172649.6	172784	
177712	177680	177878.4	
177721.6	177702.4	177881.6	
179577.6	179606.4	179769.6	
183990.4	183926.4	184051.2	
186137.6	186137.6	186352	
184528	184521.6	184710.4	
182444.8	182489.6	182659.2	
181939.2	181910.4	182140.8	
185708.8	185676.8	185769.6	
190230.4	190208	190390.4	
193040	192995.2	193168	
197779.2	197753.6	197897.6	
205094.4	205065.6	205305.6	
212998.4	213011.2	213190.4	
221436.8	221456	221648	
231644.8	231619.2	231804.8	
249836.8	249817.6	250057.6	
267417.6	267363.2	267542.4	
280259.2	280201.6	280448	
299385.6	299315.2	299616	
307334.4	307289.6	307577.6	
304448	304428.8	304697.6	
298144	298112	298441.6	
290841.6	290812.8	291075.2	
282956.8	282937.6	283200	
276323.2	276320	276652.8	
270729.6	270697.6	271004.8	
267430.4	267366.4	267603.2	
265561.6	265539.2	265859.2	
266870.4	266809.6	267104	
272809.6	272745.6	273040	
281459.2	281424	281712	
290246.4	290236.8	290512	
296233.6	296227.2	296544	
303708.8	303667.2	303961.6	
315555.2	315555.2	315830.4	
326566.4	326576	326921.6	
325836.8	325814.4	326115.2	
329996.8	329996.8	330297.6	
338950.4	338963.2	339299.2	
335651.2	335612.8	335964.8	
330694.4	330710.4	330953.6	
326470.4	326454.4	326691.2	
326012.8	326032	326272	
331852.8	331830.4	332105.6	
